"Part";"Value";"Device";"Package";"Description";"PROD_ID";"STOREFRONT_ID";
"C1";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";
"C2";"4.7uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";
"C3";"10nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C4";"47uF";"CPOL-USB/3528-21R";"T/3528-12R";"POLARIZED CAPACITOR, American symbol";"";"";
"C5";"47uF";"CPOL-USB/3528-21R";"T/3528-12R";"POLARIZED CAPACITOR, American symbol";"";"";
"C6";"100nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C7";"4.7nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"D1";"B550C";"SCHOTTKY-DIODESMC";"SMC";"Schottky Diode";"";"";
"J1";"";"M025MM";"SCREWTERMINAL-5MM-2";"Standard 2-pin 0.1" header. Use with";"";"PRT-08432";
"J2";"RASPBERRYPI-40-PIN-GPIO";"RASPBERRYPI-40-PIN-GPIO";"2X20-SHROUDED";"Second Generation Raspberry Pi GPIO Header";"";"";
"J3";"";"M04PTH";"1X04";"Header 4";"CONN-09696";"";
"J4";"";"M03PTH";"1X03";"Header 3";"";"";
"J5";"";"M03PTH";"1X03";"Header 3";"";"";
"JP1";"";"JP1Q";"JP1";"JUMPER";"";"";
"JP2";"";"JP1Q";"JP1";"JUMPER";"";"";
"L1";"10uH";"SRN1060";"SRN1060";"SRN1060 - Semi-shielded power inductor";"";"";
"R1";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R2";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R3";"3.16k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R4";"333";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R5";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R6";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R7";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R8";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R9";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"T1";"";"MMBT2222ALT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";
"U1";"";"RT8289";"RT8289-SOP-8";"RT8289GSP - Step-Down Regulator "Buck Converter"";"";"";
"X1";"USB-A-TH";"USB-A-TH";"USB-A-TH";"USB Type A Female Connector";"";"";
